track_name,artist_name,genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
SHAKE SUMN,DaBaby,"['hip hop', 'north carolina hip hop', 'rap', 'trap']",0.783,0.768,-8.471,0.157,0.00198,0.0,0.267,143.071
Robberies,King Von,['chicago rap'],0.861,0.608,-8.843,0.324,0.134,0.0,0.434,126.893
MVP (feat. G-Eazy),A Boogie Wit da Hoodie,"['melodic rap', 'rap', 'trap']",0.801,0.706,-6.079,0.255,0.000212,0.0,0.331,138.008
GEEKALEEK (feat. Cash Kidd),OHGEESY,['cali rap'],0.835,0.552,-8.039,0.191,0.00594,1.24e-05,0.18,105.007
They Don't Love It,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",0.536,0.814,-5.407,0.306,0.0388,0.0,0.851,96.7
The Hillbillies,Baby Keem,"['hip hop', 'rap']",0.814,0.606,-6.378,0.243,0.0166,0.0,0.208,150.005
Fast Car,Luke Combs,"['contemporary country', 'country']",0.712,0.603,-5.52,0.0262,0.186,0.0,0.67,97.994
goodbye looks good on you (feat. Mitchell Tenpenny),Alana Springsteen,"['country pop', 'modern country pop']",0.667,0.671,-4.2,0.0496,0.413,0.0,0.695,83.962
Dancin’ In The Country,Tyler Hubbard,"['contemporary country', 'modern country pop']",0.657,0.871,-4.614,0.0675,0.0031,0.0,0.532,114.974
Girl In Mine,Parmalee,"['contemporary country', 'country road', 'modern country rock', 'modern uplift']",0.459,0.682,-4.235,0.0464,0.167,0.0,0.887,201.831
Out Of That Truck,Carrie Underwood,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'country road', 'dance pop']",0.563,0.755,-4.504,0.0253,0.0134,0.0,0.811,92.988
Last Night,Morgan Wallen,['contemporary country'],0.517,0.675,-5.382,0.0357,0.459,0.0,0.518,203.853
Glory Days,Gabby Barrett,['contemporary country'],0.647,0.776,-5.221,0.0514,0.00686,0.0,0.268,103.919
Outskirts,Sam Hunt,"['contemporary country', 'country', 'country pop']",0.552,0.774,-3.685,0.0401,0.215,0.0,0.194,75.07
World on Fire,Nate Smith,['modern country pop'],0.461,0.887,-4.871,0.0429,0.000219,0.0,0.411,95.964
What If I Don't,Shaylen,"['la pop', 'modern country pop']",0.524,0.806,-5.785,0.0522,0.0521,0.0,0.568,143.923
Religiously,Bailey Zimmerman,['modern country pop'],0.57,0.67,-6.519,0.0274,0.426,0.0,0.593,140.924
Record High,Dylan Marlowe,['modern country pop'],0.531,0.623,-5.316,0.0347,0.0506,0.0,0.218,139.926
Looking for You,Chris Young,"['contemporary country', 'country', 'country road']",0.53,0.874,-3.594,0.043,0.0485,0.0,0.537,81.034
Watermelon Moonshine,Lainey Wilson,"['contemporary country', 'modern country pop']",0.739,0.413,-6.709,0.0282,0.47,2.51e-05,0.649,139.921
Your Heart Or Mine,Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']",0.639,0.713,-4.368,0.0337,0.0539,0.0,0.717,86.1
Bury Me in Georgia - Single Edit,Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']",0.391,0.816,-5.746,0.066,0.0169,0.0,0.457,160.001
Need A Favor,Jelly Roll,"['country rap', 'nashville hip hop', 'tennessee hip hop']",0.504,0.771,-4.231,0.0319,0.0123,1.89e-05,0.555,157.985
Country Boy's Dream Girl,Ella Langley,['modern country pop'],0.591,0.756,-4.573,0.0403,0.234,1.44e-06,0.46,139.991
TRUCK BED,HARDY,"['contemporary country', 'modern country pop']",0.662,0.77,-4.887,0.0367,0.0875,0.0,0.769,132.057
"You, Me, And Whiskey",Justin Moore,"['arkansas country', 'contemporary country', 'country', 'country road']",0.555,0.88,-4.351,0.0535,0.0803,0.0,0.422,144.076
Stars Like Confetti,Dustin Lynch,"['contemporary country', 'country', 'country road', 'modern country rock']",0.623,0.874,-3.058,0.0329,0.00714,0.0,0.961,109.97
One Day Tonight,Noah Thompson,['modern country pop'],0.62,0.524,-7.613,0.0294,0.334,0.0,0.599,108.87
Love You a Little Bit,Tanner Adell,['modern country pop'],0.61,0.868,-4.098,0.0351,0.0401,0.0,0.765,137.943
Giving Up On That,Dalton Dover,['modern country pop'],0.484,0.864,-4.593,0.0467,0.0324,0.0,0.425,137.989
This Town's Been Too Good To Us,Dylan Scott,"['contemporary country', 'country', 'country road', 'modern country rock']",0.696,0.555,-7.035,0.0353,0.0603,0.0,0.577,104.989
Hurt No More,CHASE WRIGHT,['modern country pop'],0.45,0.855,-3.475,0.0379,0.182,0.0,0.552,180.0
Lucky,Elle King,['modern blues rock'],0.537,0.851,-4.591,0.0443,0.0329,0.00105,0.155,129.022
Next Thing You Know,Jordan Davis,"['contemporary country', 'country road']",0.557,0.597,-8.296,0.048,0.646,0.0,0.414,78.526
All I Need Is You,Chris Janson,"['contemporary country', 'country', 'country road', 'modern country rock']",0.606,0.757,-6.206,0.0302,0.0157,0.000205,0.588,103.051
Trouble,Josh Ross,['modern country pop'],0.636,0.592,-5.025,0.0285,0.127,0.0,0.266,120.058
